name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,38.4,47.1,107.9,80.6
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,42.8,53.6,116.5,78.5
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,43.2,56.8,110.9,78.3
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,42.8,46.2,100.3,70.5
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,9.1,19.0,68.7,58.6
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,45.0,48.1,113.1,72.0
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,10.6,19.4,76.8,62.7
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,16.2,31.5,62.2,56.1
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,14.3,28.8,64.3,56.2
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,15.1,25.4,66.1,57.4
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,17.6,25.2,68.2,58.9
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,13.4,23.8,73.4,62.0
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,10.2,26.6,61.9,56.4
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,10.8,23.7,61.7,56.7
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,10.2,26.6,61.9,56.4
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,10.4,21.1,72.0,59.7
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,10.6,18.5,77.7,62.7
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,10.6,18.5,77.7,62.7
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,10.7,21.0,80.0,64.2
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,10.6,18.5,77.7,62.7
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,10.4,19.0,77.0,62.8
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,37.0,48.8,111.4,76.0
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,16.2,31.5,62.2,56.1
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,15.2,29.6,62.8,56.9
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,11.0,21.8,60.4,54.7
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,11.1,22.1,61.3,54.7
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,57.3,72.8,112.5,83.4
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,31.0,46.6,102.8,78.2
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,53.9,68.2,112.1,82.7
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,31.4,39.7,103.8,78.2
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,41.1,53.8,111.7,82.6
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,38.6,49.2,110.4,82.1
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,28.7,35.8,99.0,75.1
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,25.8,33.2,97.3,74.2
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,56.4,70.7,110.3,81.0
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,34.1,40.9,96.1,69.3
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,35.2,41.7,97.0,69.5
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,33.3,41.4,105.5,72.0
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,39.1,48.6,114.5,75.9
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,34.4,42.9,107.7,73.0
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,59.2,71.9,110.5,81.7
