name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,0.0,"[{""name"": ""Осадки Nov–Mar 102 мм"", ""impact"": -1.17}, {""name"": ""Снегозапас 73% нормы"", ""impact"": 0.84}, {""name"": ""Река в 54.6 км"", ""impact"": -0.49}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -0.48}]"
Новоишимское,53.2025913,66.7929531,1.5,"[{""name"": ""Река в 2.4 км"", ""impact"": 2.43}, {""name"": ""Население 7474"", ""impact"": 1.8}, {""name"": ""Осадки Nov–Mar 124 мм"", ""impact"": 1.71}, {""name"": ""Высота 183 м"", ""impact"": -1.66}]"
Сергеевка,53.880951,67.415863,0.1,"[{""name"": ""Население 8112"", ""impact"": 1.99}, {""name"": ""Осадки Nov–Mar 106 мм"", ""impact"": -1.54}, {""name"": ""Снегозапас 55 мм"", ""impact"": -1.32}, {""name"": ""Река в 1.1 км"", ""impact"": 1.24}]"
Имантау,52.9767986,68.3662059,0.7,"[{""name"": ""Осадки Nov–Mar 135 мм"", ""impact"": 1.8}, {""name"": ""Осадки 95% нормы"", ""impact"": 1.63}, {""name"": ""Высота 331 м"", ""impact"": -1.47}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.12}]"
Тайынша,53.847736,69.761436,0.3,"[{""name"": ""Река в 2.1 км"", ""impact"": 2.43}, {""name"": ""Осадки Nov–Mar 100 мм"", ""impact"": -2.17}, {""name"": ""Население 13037"", ""impact"": 1.59}, {""name"": ""Снегозапас 34 мм"", ""impact"": -1.45}]"
Чистополье,52.5617672,67.250694,1.3,"[{""name"": ""Население 2078"", ""impact"": 2.12}, {""name"": ""Высота 268 м"", ""impact"": -1.96}, {""name"": ""Осадки Nov–Mar 166 мм"", ""impact"": 1.54}, {""name"": ""Снегозапас 118% нормы"", ""impact"": 1.28}]"
Леонидовка,53.967728,69.529213,0.0,"[{""name"": ""Осадки Nov–Mar 99 мм"", ""impact"": -1.8}, {""name"": ""Снегозапас 69% нормы"", ""impact"": 1.14}, {""name"": ""Снегозапас 38 мм"", ""impact"": -0.97}, {""name"": ""Превышение над рекой 14 м"", ""impact"": 0.62}]"
Талшик,53.6433864,71.8767545,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.8}, {""name"": ""Снегозапас 52 мм"", ""impact"": -1.47}, {""name"": ""Река в 21.2 км"", ""impact"": -1.02}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 0.87}]"
Казанское,53.758011,71.667969,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.87}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.13}, {""name"": ""Снегозапас 48 мм"", ""impact"": -1.06}, {""name"": ""Высота 111 м"", ""impact"": 0.8}]"
Аксай,53.8858349,71.7522188,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.71}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 0.99}, {""name"": ""Снегозапас 59 мм"", ""impact"": -0.73}, {""name"": ""Река в 38.3 км"", ""impact"": -0.72}]"
Восходское,54.0110223,71.7696188,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.82}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 1.01}, {""name"": ""Снегозапас 69 мм"", ""impact"": -1.0}, {""name"": ""Высота 85 м"", ""impact"": 0.86}]"
Баймырза,54.1895179,71.7826683,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.2}, {""name"": ""Снегозапас 89% нормы"", ""impact"": 0.86}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -0.58}, {""name"": ""Река в 65.9 км"", ""impact"": -0.55}]"
Амандык,53.467529,70.401955,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.09}, {""name"": ""Снегозапас 65% нормы"", ""impact"": 1.06}, {""name"": ""Снегозапас 25 мм"", ""impact"": -0.63}, {""name"": ""Превышение над рекой 48 м"", ""impact"": -0.4}]"
Жанадаур,53.39994,70.478836,0.1,"[{""name"": ""Осадки 91% нормы"", ""impact"": 2.36}, {""name"": ""Осадки Nov–Mar 99 мм"", ""impact"": -1.06}, {""name"": ""Снегозапас 77% нормы"", ""impact"": 1.0}, {""name"": ""Превышение над рекой 75 м"", ""impact"": -0.41}]"
Ильичёвка,53.502098,70.388092,0.0,"[{""name"": ""Снегозапас 65% нормы"", ""impact"": 1.04}, {""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.0}, {""name"": ""Снегозапас 25 мм"", ""impact"": -0.63}, {""name"": ""Превышение над рекой 69 м"", ""impact"": -0.4}]"
Келлеровка,53.8399016,69.3021305,0.0,"[{""name"": ""Осадки Nov–Mar 100 мм"", ""impact"": -1.43}, {""name"": ""Снегозапас 33 мм"", ""impact"": -1.15}, {""name"": ""Превышение над рекой 5 м"", ""impact"": 0.89}, {""name"": ""Река в 25.8 км"", ""impact"": -0.71}]"
Черниговское,53.9016285,69.0069999,0.0,"[{""name"": ""Осадки Nov–Mar 99 мм"", ""impact"": -1.69}, {""name"": ""Превышение над рекой -55 м"", ""impact"": 0.78}, {""name"": ""Снегозапас 43 мм"", ""impact"": -0.6}, {""name"": ""Снегозапас 75% нормы"", ""impact"": 0.55}]"
Красная Поляна,53.941536,68.982285,0.0,"[{""name"": ""Осадки Nov–Mar 99 мм"", ""impact"": -1.88}, {""name"": ""Снегозапас 43 мм"", ""impact"": -0.93}, {""name"": ""Превышение над рекой -1 м"", ""impact"": 0.81}, {""name"": ""Снегозапас 75% нормы"", ""impact"": 0.68}]"
