name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,0.0,[]
Новоишимское,53.2025913,66.7929531,39.6,"[{""name"": ""Река в 2.4 км (baseline)"", ""impact"": 0.4}]"
Сергеевка,53.880951,67.415863,44.2,"[{""name"": ""Река в 1.1 км (baseline)"", ""impact"": 0.42}, {""name"": ""Превышение над рекой 29 м (baseline)"", ""impact"": 0.02}]"
Имантау,52.9767986,68.3662059,64.6,"[{""name"": ""Река в 10.8 км (baseline)"", ""impact"": 0.21}, {""name"": ""Превышение над рекой 6 м (baseline)"", ""impact"": 0.44}]"
Тайынша,53.847736,69.761436,82.5,"[{""name"": ""Река в 2.1 км (baseline)"", ""impact"": 0.4}, {""name"": ""Превышение над рекой 7 м (baseline)"", ""impact"": 0.42}]"
Чистополье,52.5617672,67.250694,56.7,"[{""name"": ""Река в 0.5 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 23 м (baseline)"", ""impact"": 0.13}]"
Леонидовка,53.967728,69.529213,36.4,"[{""name"": ""Река в 16.9 км (baseline)"", ""impact"": 0.07}, {""name"": ""Превышение над рекой 14 м (baseline)"", ""impact"": 0.29}]"
Талшик,53.6433864,71.8767545,0.0,[]
Казанское,53.758011,71.667969,0.0,[]
Аксай,53.8858349,71.7522188,0.0,[]
Восходское,54.0110223,71.7696188,0.0,[]
Баймырза,54.1895179,71.7826683,0.0,[]
Амандык,53.467529,70.401955,0.0,[]
Жанадаур,53.39994,70.478836,0.0,[]
Ильичёвка,53.502098,70.388092,0.0,[]
Келлеровка,53.8399016,69.3021305,0.0,[]
Черниговское,53.9016285,69.0069999,0.0,[]
Красная Поляна,53.941536,68.982285,0.0,[]
Доброжановка,53.966927,69.049385,0.0,[]
Глубокое,53.856407,69.045097,0.0,[]
Нагорное,53.961876,69.410736,0.0,[]
Дружба,52.586021,66.491188,52.3,"[{""name"": ""Река в 0.8 км (baseline)"", ""impact"": 0.43}, {""name"": ""Превышение над рекой 25 м (baseline)"", ""impact"": 0.09}]"
Дауит,53.6091041,71.4755852,78.8,"[{""name"": ""Река в 9.4 км (baseline)"", ""impact"": 0.24}, {""name"": ""Превышение над рекой -3 м (baseline)"", ""impact"": 0.55}]"
Алкатерек,53.45146,71.244014,0.0,[]
Целинное,53.5573909,70.7104133,40.9,"[{""name"": ""Река в 8.4 км (baseline)"", ""impact"": 0.26}, {""name"": ""Превышение над рекой 22 м (baseline)"", ""impact"": 0.15}]"
Аккудук,53.655956,70.810074,40.2,"[{""name"": ""Река в 4.6 км (baseline)"", ""impact"": 0.35}, {""name"": ""Превышение над рекой 27 м (baseline)"", ""impact"": 0.05}]"
Мамлютка,54.9376951,68.5386509,0.0,[]
Покровка,54.3010634,68.3552371,82.5,"[{""name"": ""Река в 0.4 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 9 м (baseline)"", ""impact"": 0.39}]"
Петропавловск,54.8668104,69.1334984,40.4,"[{""name"": ""Река в 2.0 км (baseline)"", ""impact"": 0.4}]"
Булаево,54.896652,70.447189,0.0,[]
Токуши,54.85788,69.717262,0.0,[]
Полудино,54.862617,69.919205,0.0,[]
Чистое,54.915241,70.724121,0.0,[]
Каракога,54.904881,70.816818,0.0,[]
Пресновка,54.6686113,67.1452217,0.0,[]
Айыртау,53.1585244,68.333889,9.2,"[{""name"": ""Река в 15.9 км (baseline)"", ""impact"": 0.09}]"
Лобаново,53.092365,68.433052,5.9,"[{""name"": ""Река в 17.4 км (baseline)"", ""impact"": 0.06}]"
Баянтай,53.261093,67.929214,30.6,"[{""name"": ""Река в 6.4 км (baseline)"", ""impact"": 0.31}]"
Казанка,53.3201718,67.449134,71.2,"[{""name"": ""Река в 0.6 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 15 м (baseline)"", ""impact"": 0.28}]"
Шукирлик,53.2726138,67.7886323,33.0,"[{""name"": ""Река в 10.2 км (baseline)"", ""impact"": 0.22}, {""name"": ""Превышение над рекой 24 м (baseline)"", ""impact"": 0.11}]"
Глубокое,55.1557926,68.9474596,9.4,"[{""name"": ""Река в 15.8 км (baseline)"", ""impact"": 0.09}]"
Налобино,55.2455423,68.7915428,0.0,[]
Пресновка,55.0909817,69.0272651,42.0,"[{""name"": ""Река в 7.8 км (baseline)"", ""impact"": 0.27}, {""name"": ""Превышение над рекой 22 м (baseline)"", ""impact"": 0.15}]"
Бостандык,53.948696,71.406944,0.0,[]
Кишкенеколь,53.6357326,72.3411085,0.0,[]
Акжаркын,53.6813187,71.3078338,0.0,[]
Камышлово,54.782906,69.674385,0.0,[]
Рузаевка,52.821907,66.952431,69.6,"[{""name"": ""Река в 0.5 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 16 м (baseline)"", ""impact"": 0.26}]"
Сивковка,52.848736,66.981255,86.1,"[{""name"": ""Река в 0.5 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 7 м (baseline)"", ""impact"": 0.42}]"
Ломоносовка,52.803749,66.465874,52.7,"[{""name"": ""Река в 0.7 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 25 м (baseline)"", ""impact"": 0.09}]"
Ставрополка,52.835926,66.559067,57.4,"[{""name"": ""Река в 1.0 км (baseline)"", ""impact"": 0.43}, {""name"": ""Превышение над рекой 22 м (baseline)"", ""impact"": 0.15}]"
Белое,54.936493,69.203117,33.9,"[{""name"": ""Река в 4.9 км (baseline)"", ""impact"": 0.34}]"
Новоникольское,55.02475,69.493172,8.0,"[{""name"": ""Река в 16.4 км (baseline)"", ""impact"": 0.08}]"
Пеньково,54.965187,69.244598,27.8,"[{""name"": ""Река в 7.6 км (baseline)"", ""impact"": 0.28}]"
Тахтаброд,52.633469,67.579048,85.8,"[{""name"": ""Река в 0.6 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 7 м (baseline)"", ""impact"": 0.42}]"
Бесколь,54.775146,69.097794,61.1,"[{""name"": ""Река в 3.4 км (baseline)"", ""impact"": 0.37}, {""name"": ""Превышение над рекой 17 м (baseline)"", ""impact"": 0.24}]"
Чапаево,54.631702,69.152771,17.6,"[{""name"": ""Река в 12.2 км (baseline)"", ""impact"": 0.18}]"
Кырымбет,52.459782,67.76239,16.3,"[{""name"": ""Река в 12.7 км (baseline)"", ""impact"": 0.16}]"
Ковыльное,52.5746,67.687767,69.7,"[{""name"": ""Река в 0.4 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 16 м (baseline)"", ""impact"": 0.26}]"
Сокологоровка,52.507038,67.873611,23.1,"[{""name"": ""Река в 9.7 км (baseline)"", ""impact"": 0.23}]"
Привольное,52.6008281,67.8253627,79.0,"[{""name"": ""Река в 0.4 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 11 м (baseline)"", ""impact"": 0.35}]"
Аканбурлык,52.6149159,68.049995,84.3,"[{""name"": ""Река в 0.4 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 8 м (baseline)"", ""impact"": 0.4}]"
Акшокы,52.68491,67.880547,24.5,"[{""name"": ""Река в 9.1 км (baseline)"", ""impact"": 0.25}]"
Красново,52.5966847,67.907696,95.7,"[{""name"": ""Река в 0.3 км (baseline)"", ""impact"": 0.44}, {""name"": ""Превышение над рекой 2 м (baseline)"", ""impact"": 0.51}]"
