name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,0.0,"[{""name"": ""Снегозапас 121 мм"", ""impact"": 1.0}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -0.85}, {""name"": ""Река в 54.6 км"", ""impact"": -0.83}, {""name"": ""Снегозапас 149% нормы"", ""impact"": -0.47}]"
Новоишимское,53.2025913,66.7929531,1.3,"[{""name"": ""Население 7474"", ""impact"": 2.83}, {""name"": ""Высота 183 м"", ""impact"": -2.26}, {""name"": ""Река в 2.4 км"", ""impact"": 2.19}, {""name"": ""Осадки Nov–Mar 129 мм"", ""impact"": 1.39}]"
Имантау,52.9767986,68.3662059,0.4,"[{""name"": ""Высота 331 м"", ""impact"": -1.64}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.43}, {""name"": ""Население 1877"", ""impact"": 1.15}, {""name"": ""Осадки Nov–Mar 120 мм"", ""impact"": 0.98}]"
Тайынша,53.847736,69.761436,0.2,"[{""name"": ""Река в 2.1 км"", ""impact"": 2.38}, {""name"": ""Осадки Nov–Mar 104 мм"", ""impact"": -2.16}, {""name"": ""Население 13037"", ""impact"": 1.6}, {""name"": ""Снегозапас 64 мм"", ""impact"": -1.45}]"
Чистополье,52.5617672,67.250694,0.4,"[{""name"": ""Население 2078"", ""impact"": 2.96}, {""name"": ""Высота 268 м"", ""impact"": -2.32}, {""name"": ""Осадки Nov–Mar 136 мм"", ""impact"": 1.36}, {""name"": ""Снегозапас 156% нормы"", ""impact"": -1.15}]"
Леонидовка,53.967728,69.529213,0.0,"[{""name"": ""Осадки 91% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 111 мм"", ""impact"": -1.3}, {""name"": ""Снегозапас 80 мм"", ""impact"": -0.93}, {""name"": ""Снегозапас 147% нормы"", ""impact"": -0.71}]"
Талшик,53.6433864,71.8767545,0.0,"[{""name"": ""Осадки Nov–Mar 93 мм"", ""impact"": -1.81}, {""name"": ""Снегозапас 43 мм"", ""impact"": -1.46}, {""name"": ""Река в 21.2 км"", ""impact"": -1.03}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 0.82}]"
Казанское,53.758011,71.667969,0.0,"[{""name"": ""Осадки Nov–Mar 96 мм"", ""impact"": -1.86}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.25}, {""name"": ""Снегозапас 48 мм"", ""impact"": -1.05}, {""name"": ""Высота 111 м"", ""impact"": 0.79}]"
Аксай,53.8858349,71.7522188,0.0,"[{""name"": ""Осадки Nov–Mar 97 мм"", ""impact"": -1.69}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 1.1}, {""name"": ""Снегозапас 63 мм"", ""impact"": -0.71}, {""name"": ""Река в 38.3 км"", ""impact"": -0.7}]"
Восходское,54.0110223,71.7696188,0.0,"[{""name"": ""Осадки Nov–Mar 98 мм"", ""impact"": -1.82}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 1.01}, {""name"": ""Снегозапас 85 мм"", ""impact"": -1.0}, {""name"": ""Высота 85 м"", ""impact"": 0.86}]"
