iso,season,risk_score,idx_glaze,idx_blizzard,idx_snowload,idx_cold
KZ-PAV,2020,36.8,35.5,65.0,22.0,11.1
KZ-ZHA,2020,17.8,57.0,0.0,3.3,0.0
KZ-KUS,2020,29.8,37.5,45.0,25.3,0.0
KZ-MAN,2020,15.1,44.5,5.0,1.3,0.0
KZ-KAR,2020,38.3,29.0,80.0,28.0,0.0
KZ-KZY,2020,16.4,43.0,10.0,2.7,0.0
KZ-VOS,2020,23.2,19.5,25.0,38.0,11.2
KZ-AKT,2020,14.7,31.5,10.0,11.3,0.0
KZ-ATY,2020,14.4,45.5,0.0,4.0,0.0
KZ-YUZ,2020,17.8,54.0,0.0,8.0,0.0
KZ-AKM,2020,16.2,18.5,0.0,39.3,13.7
KZ-ALM,2020,16.8,41.0,0.0,22.7,0.0
KZ-SEV,2020,13.5,30.0,0.0,22.7,0.0
KZ-ALA,2020,27.0,65.0,0.0,37.3,0.0
KZ-ZAP,2020,15.5,47.5,0.0,6.0,0.0
KZ-AST,2020,36.3,30.5,50.0,39.3,21.3
KZ-PAV,2021,44.0,11.0,75.0,25.3,65.8
KZ-ZHA,2021,22.8,49.0,20.0,10.7,0.0
KZ-KUS,2021,33.7,32.0,30.0,33.3,42.3
KZ-MAN,2021,11.3,34.0,0.0,5.3,0.0
KZ-KAR,2021,33.7,22.0,45.0,18.7,49.5
KZ-KZY,2021,14.1,34.0,10.0,4.7,0.0
KZ-VOS,2021,30.7,25.5,25.0,26.7,51.2
KZ-AKT,2021,15.6,32.5,0.0,16.7,12.4
KZ-ATY,2021,13.9,36.5,0.0,9.3,5.5
KZ-YUZ,2021,15.9,44.5,0.0,12.7,0.0
KZ-AKM,2021,21.5,10.5,5.0,32.0,52.3
KZ-ALM,2021,14.1,34.5,0.0,18.7,0.0
KZ-SEV,2021,28.3,9.0,15.0,38.7,67.0
KZ-ALA,2021,19.3,43.5,0.0,31.3,0.0
KZ-ZAP,2021,24.3,55.5,5.0,17.3,13.6
KZ-AST,2021,34.9,23.0,30.0,38.0,56.9
KZ-PAV,2022,30.6,29.5,55.0,15.3,11.0
KZ-ZHA,2022,20.9,58.0,10.0,2.7,0.0
KZ-KUS,2022,30.8,28.0,40.0,34.7,17.5
KZ-MAN,2022,17.6,52.5,5.0,2.0,0.0
KZ-KAR,2022,20.2,32.5,25.0,14.7,0.0
KZ-KZY,2022,23.0,59.0,15.0,4.0,0.0
KZ-VOS,2022,23.0,12.0,35.0,24.0,20.4
KZ-AKT,2022,23.1,39.0,25.0,19.3,0.0
KZ-ATY,2022,18.0,46.5,10.0,5.3,0.0
KZ-YUZ,2022,17.3,50.0,5.0,4.0,0.0
KZ-AKM,2022,15.3,11.0,10.0,30.0,15.0
KZ-ALM,2022,20.0,60.5,0.0,9.3,0.0
KZ-SEV,2022,9.3,13.0,0.0,19.3,7.8
KZ-ALA,2022,24.0,67.0,0.0,19.3,0.0
KZ-ZAP,2022,23.3,41.0,25.0,17.3,0.0
KZ-AST,2022,27.3,24.5,40.0,28.0,11.6
KZ-PAV,2023,25.2,24.0,25.0,20.7,31.9
KZ-ZHA,2023,20.4,56.5,5.0,7.3,2.5
KZ-KUS,2023,47.8,38.0,80.0,28.7,33.5
KZ-MAN,2023,10.5,33.5,0.0,2.0,0.0
KZ-KAR,2023,24.9,29.0,15.0,26.0,32.8
KZ-KZY,2023,13.4,33.5,10.0,2.0,0.0
KZ-VOS,2023,33.1,22.0,30.0,40.7,46.9
KZ-AKT,2023,17.3,34.5,15.0,9.3,2.9
KZ-ATY,2023,14.8,32.0,5.0,18.7,0.0
KZ-YUZ,2023,14.0,42.5,0.0,6.0,0.0
KZ-AKM,2023,21.1,18.5,5.0,30.0,40.4
KZ-ALM,2023,13.6,33.5,0.0,15.3,2.5
KZ-SEV,2023,17.0,16.0,10.0,20.7,25.4
KZ-ALA,2023,24.1,42.5,0.0,42.7,14.2
KZ-ZAP,2023,14.8,27.0,10.0,16.7,1.6
KZ-AST,2023,28.8,23.0,30.0,25.3,39.2
KZ-PAV,2024,38.8,32.0,55.0,13.3,50.1
KZ-ZHA,2024,14.9,32.0,10.0,11.3,0.0
KZ-KUS,2024,39.1,29.0,50.0,28.7,48.3
KZ-MAN,2024,14.0,39.5,5.0,3.3,0.0
KZ-KAR,2024,39.6,48.5,40.0,24.0,41.2
KZ-KZY,2024,14.7,30.5,15.0,5.3,0.0
KZ-VOS,2024,40.5,31.0,35.0,44.0,59.7
KZ-AKT,2024,28.2,59.0,20.0,13.3,9.1
KZ-ATY,2024,20.4,44.0,20.0,6.0,0.0
KZ-YUZ,2024,12.1,33.5,0.0,10.0,0.0
KZ-AKM,2024,24.3,21.5,0.0,33.3,56.0
KZ-ALM,2024,15.2,41.0,0.0,14.7,0.0
KZ-SEV,2024,25.8,27.0,5.0,29.3,51.4
KZ-ALA,2024,32.8,68.5,0.0,46.7,14.6
KZ-ZAP,2024,24.8,61.0,15.0,10.0,0.0
KZ-AST,2024,32.9,27.5,30.0,24.7,53.3
KZ-PAV,2025,13.8,13.0,10.0,18.0,16.4
KZ-ZHA,2025,19.0,41.0,20.0,3.3,0.0
KZ-KUS,2025,14.8,27.5,0.0,29.3,3.2
KZ-MAN,2025,14.0,42.5,0.0,6.0,0.0
KZ-KAR,2025,31.4,46.5,25.0,24.7,25.2
KZ-KZY,2025,22.5,41.5,30.0,5.3,0.0
KZ-VOS,2025,20.7,13.5,5.0,37.3,38.2
KZ-AKT,2025,24.3,43.0,20.0,22.0,4.9
KZ-ATY,2025,19.9,35.0,25.0,9.3,0.0
KZ-YUZ,2025,15.2,47.5,0.0,4.7,0.0
KZ-AKM,2025,22.6,22.5,10.0,36.0,28.1
KZ-ALM,2025,13.0,32.5,0.0,16.0,0.0
KZ-SEV,2025,12.7,25.5,0.0,25.3,0.0
KZ-ALA,2025,21.9,49.0,0.0,36.0,0.0
KZ-ZAP,2025,16.6,44.5,5.0,8.7,0.0
KZ-AST,2025,24.0,22.0,25.0,30.0,19.4
