name,flooded
Ганькино,0
Новоишимское,0
Имантау,0
Тайынша,0
Чистополье,0
Леонидовка,0
Талшик,0
Казанское,0
Аксай,0
Восходское,0
Баймырза,0
Амандык,0
Жанадаур,0
Ильичёвка,0
Келлеровка,0
Черниговское,0
Красная Поляна,0
Доброжановка,0
Глубокое,0
Нагорное,0
Дружба,0
Дауит,0
Алкатерек,0
Целинное,0
Аккудук,0
Мамлютка,0
Покровка,0
Петропавловск,1
Булаево,0
Токуши,0
Полудино,0
Чистое,0
Каракога,0
Пресновка,0
Айыртау,0
Лобаново,0
Баянтай,0
Казанка,0
Шукирлик,0
Налобино,0
Бостандык,0
Кишкенеколь,0
Акжаркын,0
Камышлово,0
Рузаевка,0
Сивковка,0
Ломоносовка,0
Ставрополка,0
Белое,0
Новоникольское,0
Пеньково,0
Тахтаброд,0
Бесколь,1
Чапаево,0
Кырымбет,0
Ковыльное,0
Сокологоровка,0
Привольное,0
Аканбурлык,0
Акшокы,0
Красново,0
Куспек,0
Тимирязево,0
Вишневка,0
Якорь,0
Затон,0
Кривоозёрка,1
Тепличное,1
Прибрежное,1
Знаменское,0
Михайловка,0
Байсал,0
Ленинское,0
Смирново,0
Рощинское,0
Архангельское,0
Новокаменка,0
Петерфельд,0
Подгорное,0
Боголюбово,1
Приишимка,0
Водопроводное,0
Красная Горка,0
Золотоноша,0
Червонное,0
Бахмут,0
Виноградовка,0
Мироновка,0
Чермошнянка,0
Зелёный Гай,0
Ясная Поляна,0
Новоприречное,0
Кантемировское,0
Кирово,0
Котовское,0
Многоцветное,0
Тендик,0
Заречное,0
Надеждинка,0
Октябрьское,0
Тапшил,0
Большой Изюм,0
Драгомировка,0
Иван-Город,0
Обуховка,0
Белоярка,0
Донецкое,0
Краснокиевка,0
Новогречановка,0
Новодворовка,0
Подольское,0
Агроном,0
Ильич,0
Молодогвардейское,0
Возвышенка,0
Золотая Нива,0
Медвежка,0
Новоивановка,0
Берёзовка,0
Горькое,0
Летовочное,0
Любимовка,0
Подлесное,0
Трудовая Нива,0
Мичурино,0
Вознесенка,0
Надёжка,1
Ольшанка,0
Соколовка,1
Большая Малышка,1
Коктерек,0
Григорьевка,0
Трудовое,0
Кенжегалы,0
Аралагаш,0
Рублёвка,0
Кременчуг,0
Сарыбай,0
Асаново,0
Явленка,0
Бирликское,0
Ефимовка,0
Токсан би,0
Нежинка,0
Старобелка,0
Ивановка,0
Полтавка,0
Черкасское,0
Власовка,0
Киялы,0
Шагалалы,0
Астраханка,0
Бескудук,0
Волошинка,0
Орнек,0
Ясновка,0
Николаевка,1
Спасовка,0
Петровка,1
Чириковка,0
Тарангул,0
Корнеевка,0
Булак,0
Ильинка,0
Заградовка,0
Володарское,0
Жарколь,0
Гайдуково,0
Вагулино,0
Бугровое,0
Долматово,0
Байтерек,1
Рассвет,0
Рявкино,0
Лебяжье,0
Метлишино,0
Тюменка,0
Толмачевка,0
Плоское,0
Гаврино,0
Зарослое,0
Ташкентка,0
Новотроицкое,0
Хлебороб,0
Суворовка,0
Тищенко,0
Чистовское,0
Украинка,0
Майбалык,0
Пулеметовка,0
Таманское,0
Косколь,0
Советское,0
Шандак,0
Придорожное,0
Достык,0
Жанажол,0
Жанаталап,0
Узынжар,0
Двинск,0
Лавровка,0
Дзержинское,0
Москворецкое,0
Андреевка,0
Макарьевка,0
Пресноредуть,0
Дубровное,0
Афонькино,0
Қызылжар орман шаруашылығы,0
Тепловское,0
Кладбинка,0
Пчелино,0
Сенжарка,0
Екатериновка,0
Светлое,0
Чапаевка,0
Будённое,0
Кабань,0
Калиновка,0
Узынколь,0
Айымжан,0
Святодуховка,0
Благовещенка,0
Украинское,0
Новое,0
Кайранколь,0
Комсомольское,0
Хмельницкое,0
2632 км,0
Краснознамённое,0
Горьковское,0
Арыкбалык,0
Чкалово,0
Нижний Бурлук,0
Айсаринское,0
Аккудык,0
Карсаковка,0
Шоптыколь,0
Ялты,0
Верхний Бурлук,0
Боровское,0
Кондратовка,0
Измайловка,0
Актуесай,0
Бидайык,0
Караагаш,0
Куприяновка,0
Акбулак,0
Каратал,1
Ыскака Ыбыраева,0
Арай,0
Ленинградское,0
Краснокаменка,0
Саумалколь,0
Разгульное,0
Воскресеновка,0
Кызыласкер,0
Леденёво,0
Бике,0
Новомихайловка,0
Ақсуат,0
Есиль,0
Антоновка,0
Горное,0
Орлиногорское,0
Белоградовка,0
Приозёрное,0
Дашко-Николаевка,0
Карлуга,0
Новопокровка,0
Щучье,0
Караганды,0
Бинаш,0
Еремеевка,0
Ногайбай,0
Образец,0
Буденное,0
Жамбыл,0
Ондирис,0
Кайрат,0
Мортык,0
Тельжан,0
Мальцево,0
Енбек,0
Есильское,0
Барневка,0
Семипалатное,0
Писаревка,0
Бастомар,0
Веселовка,0
Новоалександровка,0
Шаховское,0
Стрельниковка,0
Аксу,0
Жанасу,0
Карасай батыра,0
Агынтай батыра,0
Орловка,0
Шалкар,0
Сухорабовка,0
Становое,0
Александровка,0
Дайындык,0
Береке,0
Калугино,0
Беловка,0
Коваль,0
Токты,0
Литвиновка,0
Салкынколь,0
Рухловка,0
Гусаковка,0
Матвеевка,0
Константиновка,0
Красногорка,0
Галицино,0
Новоукраинка,0
Заря,0
Жумысшы,0
Уголки,0
Комаровка,0
Акан сере,0
Береславка,0
Новосветловка,0
Баян,0
Шолакозек,0
Егиндыагаш,0
Сарыбулак,0
Шоккарагай,0
Междуозёрное,0
Колесниковка,0
Елецкое,0
Айыртауское,0
Сырымбет,0
Сулуколь,0
Прекрасное,0
Никольское,0
Никольско-Бурлукское,0
Всеволодовка,0
Бурлык,0
Аксёновка,0
Укили Ыбырай,0
Кумтоккен,0
Камсакты,0
Бирлестик,0
Альжан,0
Ботай,0
Высокое,0
Каракамыс,0
Даукара,0
Жаксы Жалгызтау,0
Сарысай,0
Петропавловка,0
Карловка,0
Кутузовка,0
Кирилловка,0
Каменный Брод,0
Сарытубек,0
Уялы,0
Аксары,0
Ульгили,0
Тугуржап,0
Майское,0
Кызылту,0
Кулыколь,0
Карашилик,0
Киши Караой,0
Байтус,0
Кенащы,0
Ащиколь,0
Безлесное,0
Каратомар,0
Амангельды,0
Степное,1
Южное,0
Борки,0
Барыколь,0
Кучковка,0
Добровольское,0
Новороссийское,0
Талапкер,0
Владимировка,0
Поляковка,0
Амангельдинское,0
Жаркайын,0
Мектеп,0
Новоандреевка,0
Бексеит,0
Луговое,0
Тонкошуровка,0
Ивано-Петровка,0
Лузинка,0
Актас,0
Карагай,0
Алабие,0
Черуновка,0
Тауагаш,0
Бирлик,1
Мадениет,0
Сарыман,0
Ульги,0
Баймаганбета Изтолина,0
Архангелка,0
Айтуар,0
Озерное,0
Сабит,0
Ольговка,0
Бауманское,0
Октябрь,0
Симаки,0
Новорыбинка,0
Миролюбово,0
Мирное,0
Железное,0
Троицкое,0
Малое Белое,0
Гончаровка,0
Новогеоргиевка,0
Кондыбай,0
Кобенсай,0
Кузексай,0
Жас Улан,0
Каратерек,0
Жаскайрат,0
Тлеусай,0
Суатколь,0
Жаркен,0
Интымак,0
Дмитриевка,0
Акжан,0
Ракитное,0
Северное,0
Докучаево,0
Аймак,0
Талдыколь,0
Золоторунное,0
Красный Яр,0
Кустовое,0
Красноярка,0
Желяково,0
Есперли,0
Сумное,0
Остановочный пункт 2603 км,0
Орёл,0
Токаревка,0
Минкесер,0
Дачное,0
Раздольное,0
Новодубровное,0
2629 км,0
Кокалажар,0
Чернозубовка,0
Стерлитамак,0
Брилёвка,0
Раисовка,0
Урожайное,0
