name,lat,lon,population,place
Ганькино,54.8872159,70.1104856,105,village
Новоишимское,53.2025913,66.7929531,7474,village
Сергеевка,53.880951,67.415863,8112,city
Имантау,52.9767986,68.3662059,1877,village
Тайынша,53.847736,69.761436,13037,city
Чистополье,52.5617672,67.250694,2078,village
Леонидовка,53.967728,69.529213,559,village
Талшик,53.6433864,71.8767545,3922,village
Казанское,53.758011,71.667969,378,village
Аксай,53.8858349,71.7522188,63,village
Восходское,54.0110223,71.7696188,324,village
Баймырза,54.1895179,71.7826683,215,village
Амандык,53.467529,70.401955,423,village
Жанадаур,53.39994,70.478836,72,village
Ильичёвка,53.502098,70.388092,446,village
Келлеровка,53.8399016,69.3021305,2487,village
Черниговское,53.9016285,69.0069999,92,village
Красная Поляна,53.941536,68.982285,576,village
Доброжановка,53.966927,69.049385,77,village
Глубокое,53.856407,69.045097,16,hamlet
Нагорное,53.961876,69.410736,48,village
Дружба,52.586021,66.491188,567,village
Дауит,53.6091041,71.4755852,612,village
Алкатерек,53.45146,71.244014,539,village
Целинное,53.5573909,70.7104133,26,village
Аккудук,53.655956,70.810074,851,village
Мамлютка,54.9376951,68.5386509,6944,city
Покровка,54.3010634,68.3552371,1643,village
Петропавловск,54.8668104,69.1334984,222703,city
Булаево,54.896652,70.447189,8550,city
Токуши,54.85788,69.717262,1634,village
Полудино,54.862617,69.919205,1221,village
Чистое,54.915241,70.724121,125,village
Каракога,54.904881,70.816818,1726,village
Пресновка,54.6686113,67.1452217,6202,village
Айыртау,53.1585244,68.333889,478,village
Лобаново,53.092365,68.433052,1056,village
Баянтай,53.261093,67.929214,270,village
Казанка,53.3201718,67.449134,544,village
Шукирлик,53.2726138,67.7886323,162,village
Глубокое,55.1557926,68.9474596,298,village
Налобино,55.2455423,68.7915428,920,village
Пресновка,55.0909817,69.0272651,764,village
Бостандык,53.948696,71.406944,464,village
Кишкенеколь,53.6357326,72.3411085,6590,village
Акжаркын,53.6813187,71.3078338,468,village
Камышлово,54.782906,69.674385,203,village
Рузаевка,52.821907,66.952431,3339,village
Сивковка,52.848736,66.981255,354,village
Ломоносовка,52.803749,66.465874,687,village
Ставрополка,52.835926,66.559067,571,village
Белое,54.936493,69.203117,924,village
Новоникольское,55.02475,69.493172,122,village
Пеньково,54.965187,69.244598,1079,village
Тахтаброд,52.633469,67.579048,1027,village
Бесколь,54.775146,69.097794,13149,village
Чапаево,54.631702,69.152771,374,village
Кырымбет,52.459782,67.76239,30,village
Ковыльное,52.5746,67.687767,361,village
Сокологоровка,52.507038,67.873611,287,hamlet
Привольное,52.6008281,67.8253627,7,village
Аканбурлык,52.6149159,68.049995,223,village
Акшокы,52.68491,67.880547,21,village
Красново,52.5966847,67.907696,19,village
Куспек,52.742474,67.998177,568,village
Тимирязево,53.7481615,66.4954458,3998,village
Вишневка,54.9407291,69.0741755,111,village
Якорь,54.959206,69.034576,2060,village
Затон,54.8549472,68.9933737,174,village
Кривоозёрка,54.8717546,68.99711,142,village
Тепличное,54.8329505,69.0915477,785,village
Прибрежное,54.819756,69.090256,1793,village
Знаменское,54.901402,69.597755,932,village
Михайловка,54.892441,69.462555,82,village
Байсал,54.895233,69.553108,128,village
Ленинское,54.473019,69.182556,1083,village
Смирново,54.51453,69.419189,5650,village
Рощинское,54.058678,69.143158,419,village
Архангельское,54.7801156,68.9461997,845,village
Новокаменка,54.711693,68.983734,995,village
Петерфельд,54.912373,68.887779,1579,village
Подгорное,54.7128156,69.0232742,506,village
Боголюбово,54.6174536,68.7288167,1210,village
Приишимка,54.611111,68.855843,376,village
Водопроводное,54.555283,68.728447,343,village
Красная Горка,54.5550524,68.7689396,331,village
Новоникольское,54.527195,68.686737,1474,village
Золотоноша,52.826229,67.170753,30,village
Червонное,53.2771558,66.7276043,1075,village
Бахмут,53.9553438,69.6563407,154,village
Виноградовка,53.852486,69.885887,181,village
Мироновка,53.840008,69.839554,520,village
Чермошнянка,53.956871,69.776093,617,village
Вишневка,53.928841,70.116203,645,village
Зелёный Гай,53.9415782,70.4052003,1323,village
Ясная Поляна,53.948624,70.280006,1368,village
Новоприречное,53.795761,69.71405,311,village
Кантемировское,54.145618,70.074486,133,village
Кирово,54.149075,70.3215452,480,village
Котовское,54.296768,70.103928,76,village
Многоцветное,53.886616,69.540169,407,village
Тендик,53.992543,69.8575413,312,village
Заречное,53.770763,69.769211,219,village
Надеждинка,53.913223,69.860298,44,village
Октябрьское,53.71431,69.668915,46,village
Тапшил,53.573334,70.037659,10,village
Большой Изюм,53.719046,69.63546,1191,village
Драгомировка,53.7520402,69.3697642,522,village
Иван-Город,53.7731746,69.3236261,231,village
Обуховка,53.679047,69.398209,362,village
Белоярка,53.783981,70.242401,109,village
Донецкое,53.805855,70.097076,553,village
Краснокиевка,53.746407,70.227455,343,village
Новогречановка,53.862225,70.424812,382,village
Новодворовка,53.849495,70.310371,145,village
Подольское,53.829334,70.079849,463,village
Агроном,54.190063,70.534271,99,village
Ильич,54.142712,70.545845,366,village
Молодогвардейское,54.0950466,70.7952992,418,village
Возвышенка,54.437664,70.941399,1932,village
Золотая Нива,54.2091188,70.8748844,264,village
Медвежка,54.870277,70.436485,640,village
Новоивановка,53.882401,69.696236,143,village
Берёзовка,53.5643554,69.3276584,28,hamlet
Горькое,53.630962,69.152756,490,village
Летовочное,53.735115,68.980431,541,village
Любимовка,53.789822,69.179337,169,village
Подлесное,53.714844,68.990486,255,village
Трудовая Нива,54.663868,69.194862,65,village
Мичурино,53.3954853,66.6237321,406,village
Вознесенка,54.67017,68.81662,445,village
Надёжка,54.62022,68.811348,316,village
Ольшанка,55.009148,69.102615,379,village
Соколовка,55.11763,69.203369,2432,village
Большая Малышка,55.096394,69.227661,939,village
Коктерек,54.489746,69.461533,176,village
Григорьевка,54.626225,69.545738,33,village
Трудовое,54.552261,69.486176,706,village
Кенжегалы,54.540993,69.564445,109,village
Аралагаш,54.342682,69.172279,324,village
Рублёвка,54.270718,69.143616,617,village
Кременчуг,53.897041,69.267227,143,village
Сарыбай,54.0371175,69.1737805,9,village
Асаново,54.853539,69.452156,1231,village
Явленка,54.3462508,68.4566996,5928,village
Бирликское,53.041672,66.721931,791,village
Ефимовка,53.149876,66.773178,383,village
Токсан би,52.962101,66.622246,561,village
Нежинка,53.059357,66.739822,1206,village
Старобелка,52.982792,66.829201,202,village
Ивановка,54.631046,69.990372,642,village
Полтавка,54.502052,69.781807,807,village
Черкасское,54.368376,69.7677017,698,village
Власовка,54.199375,69.603462,619,village
Киялы,54.200649,69.649261,1705,village
Шагалалы,54.1781318,69.5230735,1113,village
Астраханка,54.511875,69.232262,735,village
Бескудук,54.047737,68.087105,273,village
Волошинка,53.889011,67.978714,589,village
Орнек,54.143215,67.791847,162,village
Ясновка,53.981533,68.216652,613,village
Николаевка,54.205807,67.804298,1312,village
Спасовка,54.349106,67.721245,135,village
Петровка,54.302021,68.221336,1122,village
Чириковка,54.399506,68.616119,844,village
Тарангул,54.1698,68.429443,489,village
Корнеевка,54.00486,68.421883,1969,village
Булак,53.870007,68.391533,390,village
Ильинка,54.2030973,68.0059602,944,village
Заградовка,53.844063,68.610909,829,village
Володарское,52.661465,66.595833,578,village
Жарколь,52.5745729,66.3971613,14,hamlet
Целинное,52.6059,66.490768,648,village
Виноградовка,55.2200765,69.086532,515,village
Гайдуково,55.322174,68.7733,51,village
Вагулино,55.150024,69.259735,613,village
Бугровое,55.048939,69.720924,564,village
Долматово,55.3167772,69.4561447,320,village
Байтерек,54.7371426,69.0677151,1666,village
Рассвет,54.475815,68.68837,671,village
Байтерек,54.9012441,70.0339128,658,village
Рявкино,54.979862,70.095688,47,village
Лебяжье,55.039898,70.839371,417,village
Метлишино,54.969437,69.623795,195,village
Ганькино,54.869091,70.119324,168,village
Тюменка,54.885094,69.778336,293,village
Толмачевка,54.8367908,69.3836859,77,village
Плоское,54.774399,69.478127,144,village
Гаврино,55.177998,69.963959,126,village
Зарослое,55.068386,70.231606,30,village
Ташкентка,55.0608911,69.2294455,243,village
Новотроицкое,54.941441,70.222183,227,village
Октябрьское,55.0304739,70.4233151,425,village
Хлебороб,54.962818,70.464844,198,village
Суворовка,55.098549,70.318291,38,village
Тищенко,54.866947,70.56736,94,village
Чистовское,54.895565,70.625801,950,village
Украинка,54.844982,70.585289,23,village
Майбалык,54.296463,70.509888,235,village
Пулеметовка,54.552135,70.423721,133,village
Таманское,54.482517,70.512383,462,village
Косколь,54.4303762,70.6339942,101,village
Советское,54.4322207,70.3431847,1365,village
Шандак,54.436375,70.751198,154,village
Придорожное,54.498676,70.345047,264,village
Достык,54.7590514,70.3366645,207,village
Полтавка,54.831326,70.311897,572,village
Жанажол,53.982719,67.608635,384,village
Жанаталап,53.9700811,67.5499431,98,village
Узынжар,53.537678,67.080902,492,village
Двинск,54.145901,68.403328,259,village
Лавровка,53.454784,68.35746,415,village
Дзержинское,53.612789,66.435074,219,village
Ленинское,53.3755636,66.3604841,191,village
Москворецкое,53.6791,66.362312,517,village
Андреевка,52.999763,67.381363,844,village
Макарьевка,54.501556,66.350296,111,village
Пресноредуть,54.5552732,66.1543393,420,village
Дубровное,54.814541,68.091301,690,village
Афонькино,54.905602,68.262001,571,village
Покровка,54.931152,68.631683,952,village
Қызылжар орман шаруашылығы,54.8302185,69.1262021,,village
Тепловское,54.8629738,69.2551484,,hamlet
Кладбинка,54.736385,67.6147491,506,village
Пчелино,54.778366,67.937798,54,village
Сенжарка,54.7730787,67.8304133,74,village
Екатериновка,54.5942855,66.7049222,132,village
Светлое,54.586346,66.634529,57,village
Чапаевка,54.5086818,66.5132517,85,village
Будённое,54.623726,66.513252,488,village
Кабань,54.6611966,66.4859984,77,village
Калиновка,54.5925449,66.4565179,87,village
Казанка,54.718452,66.954659,596,village
Узынколь,54.59211,67.152664,167,village
Айымжан,54.543686,67.090912,223,village
Святодуховка,54.484962,66.783897,354,village
Благовещенка,54.369076,66.97139,2806,village
Украинское,54.116165,66.659279,426,village
Новое,54.091621,66.53981,58,village
Кайранколь,54.032894,66.369087,653,village
Комсомольское,53.754959,66.402031,419,village
Хмельницкое,53.824615,66.061569,449,village
2632 км,54.8565139,69.2607726,,hamlet
Краснознамённое,54.976139,68.806702,654,village
Горьковское,54.1858669,71.9383977,653,village
Арыкбалык,52.953907,68.198669,2050,village
Петровка,53.6162693,70.4615564,1204,village
Чкалово,53.625412,70.43367,2849,village
