date,region_iso,region,blizzard,ice,frost,wind,snow,dangerous,text
2020-01-28,KZ-AKM,Акмолинская область,1,0,0,1,0,0,"С 21 ч. 28 января до 21 ч. 29 января 2020г. 29 января в Акмолинской области местами ожидается туман, ночью местами метель. Ветер северо-западный с переходом на юго-восточный, ночью местами 15-20 м/с."
2020-01-28,KZ-KZY,Кызылординская область,0,1,0,0,0,0,"С 20 ч. 28 января по 08 ч. 29 января 2020 г. Ночью и утром 29 января в Кызылординской области местами сохраняются туман, гололед."
2020-01-28,KZ-KZY,Кызылординская область,0,1,0,0,0,0,"С 20 ч. 28 января по 20 ч. 29 января 2020 г. Ночью и утром 29 января в Кызылординской области местами сохраняются туман, гололед."
2020-01-28,KZ-VOS,Восточно-Казахстанская область,1,0,0,1,1,0,"С 21.00 ч. 28 января 2020г. до 21.00 ч. 29 января 2020г. Ночью 29 января в Восточно-Казахстанской области местами ожидается сильный снег. Местами метель, туман. Ветер западный местами 15-20, ночью порывы 23-28 м/с. г.Усть-Каменогорск: ночью 29 января ожидается метель. Ветер западный ночью порывы 15-20 м/с. г.Семей: ночью 29 января ожидается метель. Ветер западный ночью порывы 15-20 м/с."
2020-01-28,KZ-KUS,Костанайская область,0,0,0,0,0,0,С 21 ч. 28 января по 21 ч. 29 января 2020 г. 29 января в Костанайской области ожидается местами туман.
2020-01-28,KZ-AKM,Акмолинская область,1,0,0,1,1,0,"с 21 ч. 28 января до 09 ч. 29 января 2020 г. г. Нур-Султан: ночью 29 января сохраняются снег, низовая метель, ветер северо-западный с переходом на юго-восточный порывы 15-18 м/с."
2020-01-29,KZ-ATY,Атырауская область,0,1,0,1,0,0,"С 20 ч. 29 января по 20 ч. 1 февраля 2020 г. 30 января-1 февраля в Атырауской области ожидаются местами туман, гололед. Ветер юго-восточный, восточный днем 30 января, 31 января -1 февраля местами 15-20 м/с. г. Атырау: 30-31 января ожидаются туман."
2020-01-29,KZ-KZY,Кызылординская область,0,0,0,0,0,0,С 20 ч. 29 января по 20 ч. 1 ақпан 2020 г. 30 января-1 февраля в Кызылординской области местами ожидается туман.
2020-01-30,KZ-MAN,Мангыстауская область,0,0,0,0,0,0,С 21 ч. 30 января до 21 ч. 31 января 2020 г. 31 января в Мангистауской области местами ожидается туман. г.Актау: 31 января ночью и утром ожидается туман.
2020-01-31,KZ-MAN,Мангыстауская область,0,0,0,0,0,0,С 21 ч. 31 января до 21 ч. 01 февраля 2020 года. 01 февраля в Мангистауской области местами ожидается туман. г.Актау: 01 февраля ночью и утром ожидается туман.
